RGfKMai4.jpg;#ac9b58;#917404;[47.85714285714283, 0.48837209302325585, 0.6745098039215687]

R0vFne5N.jpg;#6d6663;#a5480a;[24.0, 0.09174311926605498, 0.42745098039215684]

nj0q4y31.jpg;#ea2520;#9b1410;[1.4925373134328197, 0.858974358974359, 0.9176470588235294]

RIs3PRAs.jpg;#9e5d5d;#af0b0b;[0.0, 0.40506329113924056, 0.6196078431372549]

REd5r34q.jpg;#4d514a;#49980d;[94.28571428571433, 0.08641975308641962, 0.3176470588235294]

bF7ldloJ.jpg;#061034;#092791;[226.95652173913044, 0.8846153846153846, 0.20392156862745098]

RHXY2sav.jpg;#a29581;#a16406;[36.363636363636374, 0.2037037037037037, 0.6352941176470588]

R6qJbbe7.jpg;#13100d;#814305;[30.0, 0.3157894736842105, 0.07450980392156863]

R4kGS1u1.jpg;#989088;#9e570f;[30.0, 0.10526315789473684, 0.596078431372549]

RH2Nd4H2.jpg;#c79a6e;#b85d04;[29.662921348314626, 0.4472361809045226, 0.7803921568627452]

ucfvJgYr.jpg;#e1282b;#971416;[358.7027027027027, 0.8222222222222222, 0.8823529411764706]

QZkEInqY.jpg;#4c4039;#ab480e;[22.10526315789474, 0.24999999999999992, 0.2980392156862745]

QZ6dDUhN.jpg;#95a4c4;#113b94;[220.85106382978722, 0.23979591836734693, 0.7686274509803923]

R2ib6h7Q.jpg;#2569ae;#005ab6;[210.2189781021898, 0.7873563218390803, 0.6823529411764706]

QyckX02z.jpg;#6b75b6;#021bbd;[232.0, 0.41208791208791207, 0.7137254901960784]

R1OZaXX7.jpg;#372210;#b55f0d;[29.230769230769226, 0.7090909090909091, 0.21568627450980393]

QySxTrqf.jpg;#94a940;#83a00e;[72.0, 0.6176470588235294, 0.6666666666666665]

iLymrybQ.jpg;#6dabe5;#024685;[209.0, 0.5240174672489083, 0.8980392156862745]

R3WAN5ye.jpg;#d85f17;#a14915;[22.383419689119194, 0.8935185185185185, 0.8470588235294118]

QyowsYxY.jpg;#4d8698;#067193;[194.39999999999998, 0.493421052631579, 0.596078431372549]

R6VVeehM.jpg;#8aa6a0;#0e8c71;[167.14285714285714, 0.1676646706586827, 0.6549019607843136]

R1Bh0r9i.jpg;#b66323;#88420d;[25.890410958904113, 0.8021978021978022, 0.7137254901960784]

RGHdW3NT.jpg;#7c8271;#6d9d14;[81.17647058823528, 0.13076923076923075, 0.5098039215686274]

R2Webd01.jpg;#7f5230;#ad4c02;[26.153846153846132, 0.6141732283464567, 0.4980392156862745]

RFCcoFMe.jpg;#9cc3d0;#0f7290;[193.84615384615384, 0.24999999999999992, 0.8156862745098039]

REpBQ7mD.jpg;#2f7aa3;#095d8c;[201.72413793103448, 0.7073170731707318, 0.6431372549019607]

